2013-07-02 00:10:57 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8010&konftop=18<br>
2013-07-02 00:49:20 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 00:49:28 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 00:49:34 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=5<br>
2013-07-02 00:49:37 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=9055&konftop=5<br>
2013-07-02 00:51:52 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 00:51:58 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=5<br>
2013-07-02 00:52:00 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=9055&konftop=5<br>
2013-07-02 00:54:17 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=9055&page=0&cpr=Дело%20закрыто&com=9055<br>
2013-07-02 00:54:23 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=9055&do=close<br>
2013-07-02 00:54:30 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=5<br>
2013-07-02 00:54:44 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=9055&konftop=5<br>
2013-07-02 00:55:38 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=15<br>
2013-07-02 00:55:41 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8166&konftop=15<br>
2013-07-02 00:55:49 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=13<br>
2013-07-02 00:55:50 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8443&konftop=13<br>
2013-07-02 00:55:53 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=1<br>
2013-07-02 00:56:02 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=16<br>
2013-07-02 00:56:04 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=15<br>
2013-07-02 00:56:09 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8170&konftop=15<br>
2013-07-02 00:56:19 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 01:02:51 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=1<br>
2013-07-02 02:05:07 <b>Фанат</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 02:05:10 <b>Фанат</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 02:34:35 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=13<br>
2013-07-02 02:34:36 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8443&konftop=13<br>
2013-07-02 02:53:28 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 02:53:31 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=9<br>
2013-07-02 02:53:36 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8810&konftop=9<br>
2013-07-02 03:22:14 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 03:22:15 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=1<br>
2013-07-02 03:22:22 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8624&konftop=1<br>
2013-07-02 04:02:18 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=13<br>
2013-07-02 04:02:24 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=7956&konftop=13<br>
2013-07-02 04:04:28 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 04:04:31 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8624&konftop=1<br>
2013-07-02 04:04:52 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 04:04:56 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8043&konftop=18<br>
2013-07-02 04:05:04 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=5<br>
2013-07-02 04:05:07 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=9055&konftop=5<br>
2013-07-02 08:52:09 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 08:52:12 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 09:13:28 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 09:13:30 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=9<br>
2013-07-02 09:14:09 <b>Минерал</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 10:38:07 <b>Боевулф</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 10:38:12 <b>Боевулф</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=16<br>
2013-07-02 10:38:14 <b>Боевулф</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 10:38:16 <b>Боевулф</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 10:38:32 <b>Боевулф</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=13<br>
2013-07-02 10:38:35 <b>Боевулф</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=7956&konftop=13<br>
2013-07-02 11:55:03 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 11:55:13 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 11:55:16 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=5<br>
2013-07-02 11:55:18 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=9055&konftop=5<br>
2013-07-02 11:55:25 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=1<br>
2013-07-02 12:17:11 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 12:25:33 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=13<br>
2013-07-02 12:25:34 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=8443&konftop=13<br>
2013-07-02 12:28:13 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=18<br>
2013-07-02 12:28:14 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=1<br>
2013-07-02 12:28:41 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 12:28:41 <b>ICE phoenix</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php<br>
2013-07-02 12:29:01 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?conf=16<br>
2013-07-02 12:29:04 <b>крым</b>: Удалил тему: &quot;&quot; из раздела &quot;&quot; DEBUG: /forum.php?topic=6470&konftop=16<br>
